protocol,size,usage_side,ts,rss,cpu,perf_base_ns,epoch_base_ns
grpc,1000,client,91011280726834,22646784,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011282019875,23048192,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011283310250,23306240,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011284601209,23646208,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011285891334,24223744,2.3,90997483539834,1747938396947285000
grpc,1000,client,91011287186084,24436736,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011288474417,24698880,2.3,90997483539834,1747938396947285000
grpc,1000,client,91011289762834,24834048,2.6,90997483539834,1747938396947285000
grpc,1000,client,91011291052542,25137152,1.8,90997483539834,1747938396947285000
grpc,1000,client,91011292349875,25415680,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011293657834,25882624,1.8,90997483539834,1747938396947285000
grpc,1000,client,91011294974334,26382336,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011296284417,26542080,2.3,90997483539834,1747938396947285000
grpc,1000,client,91011297592042,26664960,1.9,90997483539834,1747938396947285000
grpc,1000,client,91011298886042,27009024,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011300199459,27299840,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011301427917,27561984,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011302722209,27852800,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011304011292,28237824,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011305300000,28737536,1.9,90997483539834,1747938396947285000
grpc,1000,client,91011306588000,29413376,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011307881959,29728768,1.6,90997483539834,1747938396947285000
grpc,1000,client,91011309173459,29859840,1.8,90997483539834,1747938396947285000
grpc,1000,client,91011310462084,30048256,1.5,90997483539834,1747938396947285000
grpc,1000,client,91011311750167,30183424,1.9,90997483539834,1747938396947285000
grpc,1000,client,91011313067209,30388224,2.2,90997483539834,1747938396947285000
grpc,1000,client,91011314354584,30560256,1.6,90997483539834,1747938396947285000
grpc,1000,client,91011315641750,30679040,1.5,90997483539834,1747938396947285000
grpc,1000,client,91011316931584,31080448,2.4,90997483539834,1747938396947285000
grpc,1000,client,91011318238084,31420416,2.5,90997483539834,1747938396947285000
grpc,1000,client,91011319553125,33251328,3.3,90997483539834,1747938396947285000
grpc,1000,client,91011320849667,33587200,0.9,90997483539834,1747938396947285000
grpc,1000,client,91011322145250,34336768,1.5,90997483539834,1747938396947285000
grpc,1000,client,91011323443792,34639872,3.0,90997483539834,1747938396947285000
grpc,1000,client,91011324744500,34643968,1.9,90997483539834,1747938396947285000
grpc,1000,client,91011326040667,34664448,3.0,90997483539834,1747938396947285000
grpc,1000,client,91011327337625,34664448,2.7,90997483539834,1747938396947285000
grpc,1000,client,91011328634459,34668544,1.8,90997483539834,1747938396947285000
grpc,1000,client,91011329928875,34672640,1.4,90997483539834,1747938396947285000
grpc,1000,client,91011331220209,34676736,3.5,90997483539834,1747938396947285000
grpc,1000,client,91011332510834,34701312,3.0,90997483539834,1747938396947285000
grpc,1000,client,91011333800917,34844672,2.4,90997483539834,1747938396947285000
grpc,10000,client,91056481182459,19070976,4.1,91041361423459,1747938440826269000
grpc,10000,client,91056482825584,19992576,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056484128667,20156416,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056485463209,20295680,1.5,91041361423459,1747938440826269000
grpc,10000,client,91056486787625,20881408,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056488085375,21450752,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056489388125,21708800,1.8,91041361423459,1747938440826269000
grpc,10000,client,91056490690167,21876736,2.5,91041361423459,1747938440826269000
grpc,10000,client,91056491990167,22024192,1.7000000000000002,91041361423459,1747938440826269000
grpc,10000,client,91056493284125,22294528,2.2,91041361423459,1747938440826269000
grpc,10000,client,91056494574584,22532096,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056495863584,22765568,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056497154709,23171072,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056498440292,23433216,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056499729959,23773184,2.3,91041361423459,1747938440826269000
grpc,10000,client,91056501020250,24371200,2.5,91041361423459,1747938440826269000
grpc,10000,client,91056502307000,24580096,2.5,91041361423459,1747938440826269000
grpc,10000,client,91056503594542,24842240,2.2,91041361423459,1747938440826269000
grpc,10000,client,91056504884000,24977408,2.6,91041361423459,1747938440826269000
grpc,10000,client,91056506173792,25288704,1.8,91041361423459,1747938440826269000
grpc,10000,client,91056507463459,25563136,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056508753875,26054656,1.9,91041361423459,1747938440826269000
grpc,10000,client,91056510043917,26329088,2.2,91041361423459,1747938440826269000
grpc,10000,client,91056511334917,26447872,2.2,91041361423459,1747938440826269000
grpc,10000,client,91056512625792,26607616,2.3,91041361423459,1747938440826269000
grpc,10000,client,91056513913209,26947584,2.3,91041361423459,1747938440826269000
grpc,10000,client,91056515201084,27262976,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056516491959,27541504,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056517781792,27889664,2.5,91041361423459,1747938440826269000
grpc,10000,client,91056519068084,28229632,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056520356959,28860416,2.0,91041361423459,1747938440826269000
grpc,10000,client,91056521644959,29405184,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056522933334,29675520,1.9,91041361423459,1747938440826269000
grpc,10000,client,91056524220709,29831168,1.5,91041361423459,1747938440826269000
grpc,10000,client,91056525509917,30011392,2.0,91041361423459,1747938440826269000
grpc,10000,client,91056526798959,30146560,2.0,91041361423459,1747938440826269000
grpc,10000,client,91056528090250,30330880,1.9,91041361423459,1747938440826269000
grpc,10000,client,91056529380084,30552064,2.0,91041361423459,1747938440826269000
grpc,10000,client,91056530666500,30691328,1.5,91041361423459,1747938440826269000
grpc,10000,client,91056531953792,31064064,2.3,91041361423459,1747938440826269000
grpc,10000,client,91056533257334,31797248,3.0,91041361423459,1747938440826269000
grpc,10000,client,91056534609875,33304576,2.8,91041361423459,1747938440826269000
grpc,10000,client,91056535944292,33550336,0.4,91041361423459,1747938440826269000
grpc,10000,client,91056537246584,33550336,0.0,91041361423459,1747938440826269000
grpc,10000,client,91056538541542,33550336,0.0,91041361423459,1747938440826269000
grpc,10000,client,91056539837084,33550336,0.0,91041361423459,1747938440826269000
grpc,10000,client,91056541124750,33550336,0.0,91041361423459,1747938440826269000
grpc,10000,client,91056542416000,33550336,0.0,91041361423459,1747938440826269000
grpc,10000,client,91056543706917,33550336,0.0,91041361423459,1747938440826269000
grpc,10000,client,91056544920042,33611776,0.2,91041361423459,1747938440826269000
grpc,10000,client,91056546238375,36499456,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056547535667,38125568,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056548828167,40214528,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056550127500,40640512,3.5,91041361423459,1747938440826269000
grpc,10000,client,91056551315709,40640512,2.4,91041361423459,1747938440826269000
grpc,10000,client,91056552645167,40644608,0.4,91041361423459,1747938440826269000
grpc,10000,client,91056553958667,40665088,4.0,91041361423459,1747938440826269000
grpc,10000,client,91056555253834,40665088,2.7,91041361423459,1747938440826269000
grpc,10000,client,91056556556000,40669184,2.6,91041361423459,1747938440826269000
grpc,10000,client,91056557860584,40673280,1.0,91041361423459,1747938440826269000
grpc,10000,client,91056559160542,40677376,3.8,91041361423459,1747938440826269000
grpc,10000,client,91056560463417,40701952,2.4,91041361423459,1747938440826269000
grpc,100000,client,91116036148292,19087360,17.6,91086605897500,1747938486071879000
grpc,100000,client,91116037788667,19984384,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116039096250,20131840,1.9,91086605897500,1747938486071879000
grpc,100000,client,91116040392209,20393984,2.0,91086605897500,1747938486071879000
grpc,100000,client,91116041689125,21057536,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116042982875,21385216,2.3,91086605897500,1747938486071879000
grpc,100000,client,91116044283792,21520384,2.0,91086605897500,1747938486071879000
grpc,100000,client,91116045593334,21692416,2.0,91086605897500,1747938486071879000
grpc,100000,client,91116046898042,21872640,1.9,91086605897500,1747938486071879000
grpc,100000,client,91116048196084,22200320,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116049490959,22339584,2.3,91086605897500,1747938486071879000
grpc,100000,client,91116050782542,22589440,2.6,91086605897500,1747938486071879000
grpc,100000,client,91116052072167,22962176,2.3,91086605897500,1747938486071879000
grpc,100000,client,91116053362334,23343104,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116054651292,23576576,2.5,91086605897500,1747938486071879000
grpc,100000,client,91116055940167,24137728,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116057227500,24436736,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116058514084,24567808,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116059822959,24682496,1.8,91086605897500,1747938486071879000
grpc,100000,client,91116061140709,25067520,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116062451917,25554944,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116063765750,25948160,1.9,91086605897500,1747938486071879000
grpc,100000,client,91116065079584,26181632,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116066380084,26345472,1.9,91086605897500,1747938486071879000
grpc,100000,client,91116067672125,26624000,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116068961375,26857472,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116070256834,27168768,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116071550709,27537408,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116072843292,27959296,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116074143375,28147712,2.4,91086605897500,1747938486071879000
grpc,100000,client,91116075450792,28827648,1.9,91086605897500,1747938486071879000
grpc,100000,client,91116076746125,29405184,2.5,91086605897500,1747938486071879000
grpc,100000,client,91116078037209,29626368,1.9,91086605897500,1747938486071879000
