protocol,size,usage_side,ts,rss,cpu,perf_base_ns,epoch_base_ns
rest_proto,1000,client,38453658979791,25075712,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453660296500,25567232,2.2,38437135410541,1747489152231298000
rest_proto,1000,client,38453661598250,25731072,1.6,38437135410541,1747489152231298000
rest_proto,1000,client,38453662891625,25829376,1.5,38437135410541,1747489152231298000
rest_proto,1000,client,38453664182666,26214400,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453665471625,26656768,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453666762625,26787840,1.7000000000000002,38437135410541,1747489152231298000
rest_proto,1000,client,38453668057750,26828800,2.6,38437135410541,1747489152231298000
rest_proto,1000,client,38453669345250,26935296,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453670633375,27303936,2.3,38437135410541,1747489152231298000
rest_proto,1000,client,38453671926500,27447296,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453673220583,27697152,2.5,38437135410541,1747489152231298000
rest_proto,1000,client,38453674512083,28041216,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453675800875,28508160,2.3,38437135410541,1747489152231298000
rest_proto,1000,client,38453677087958,29036544,2.5,38437135410541,1747489152231298000
rest_proto,1000,client,38453678376875,29470720,2.3,38437135410541,1747489152231298000
rest_proto,1000,client,38453679663125,29614080,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453680955708,29782016,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453682241500,29925376,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453683529375,30068736,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453684818125,30208000,2.5,38437135410541,1747489152231298000
rest_proto,1000,client,38453686105541,30396416,2.3,38437135410541,1747489152231298000
rest_proto,1000,client,38453687393666,30679040,1.9,38437135410541,1747489152231298000
rest_proto,1000,client,38453688685791,30928896,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453689975625,31481856,2.4,38437135410541,1747489152231298000
